SKU,Description,Style/Color,Vendor,Vendor Description,OnHand Qty,OnHand Curr Cost,OnHand Value,OnHand Weeks,MTD Qty,MTD Sales,MTD Markdowns,MTD MD Pct,MTD Profit,MTD GP Pct,MTD Turns,MTD ROI Pct,MTD Sell Thru,Age_FirstRec,Age_LastRec,Comment
HP9372BK       ,PantCaTuPanCHOCO V  ,RAYO/2PCB ,CHOC,CHOCOLATE,40,267.17,"10,686.80",1,17,"8,226.47","3,525.63",42.9,"3,684.58",44.8,4.2,341,29.8,75,37,
0011WH         ,PantCaAcaPdaCIELO V ,ALGD/1P1B ,CIEL,CIELO,33,374.03,"12,342.99",0.5,29,"14,502.80","5,620.59",38.8,"3,676.77",25.4,7.4,250,46.8,2342,38,
T1573BK        ,BlusCvBotM34ACTIVE V,POLY/NEGR ,ACTI,ACTIVE USA,63,187.02,"11,782.26",0.5,51,"13,200.00","12,300.00",93.2,"3,661.98",27.7,6.9,266,44.7,75,3,
61793NV        ,CardCvCasMlAMBIA V  ,ALGD/AZUL ,AMBI,AMBIANCE,11,153.62,"1,689.82",0.2,23,"7,188.16","2,711.73",37.7,"3,654.90",50.8,12.3,1269,67.6,73,6,
D5738BKWH      ,VestForCvMlDRESS V  ,POLY/CUAD ,DRES,DRESS CODE,19,325.98,"6,193.62",0.9,9,"6,569.98","1,999.55",30.4,"3,636.16",55.3,4.6,570,32.1,76,3,
BC3019BBKIV    ,FaldRodAlgdMISSD V  ,ALGD/RAYA ,MINE,MINE EDGE,1,232.71,232.71,0,16,"7,312.70","2,356.90",32.2,"3,589.34",49.1,21.3,2057,94.1,52,19,
0011KA         ,PantCaAcaPdeCIELO V ,ALGD/1P1B ,CIEL,CIELO,27,374.03,"10,098.81",0.4,31,"15,127.33","6,383.88",42.2,"3,560.23",23.5,8.8,269,53.4,2342,24,
T4417BKWH      ,BlazeCvBotMlKLAXO V ,POLY/RAYA ,KLAX,KLAXONS,2,227.03,454.06,0.1,14,"6,774.74","2,903.46",42.9,"3,556.51",52.5,18.7,2064,87.5,146,39,
B4859          ,JeanCiTuBoPdeCESTT V,ALGD/ROTO ,CEST,C EST TOI,23,370.33,"8,517.59",0.8,12,"7,998.24","3,427.80",42.9,"3,549.25",44.4,5,396,34.3,149,15,
BE4250MZBK     ,VestClBotM3/4PAPER V,POLY/CUAD ,XPAM,PAPERMOON,19,312.09,"5,929.71",0.6,14,"7,860.40","3,035.24",38.6,"3,491.14",44.4,6.5,516,42.4,51,4,
EQ2963CLCRMBK  ,BlusCvCasMlEVENT V  ,POLY/ARAB ,EVEN,EVENT,19,232.85,"4,424.15",0.5,16,"7,191.83","2,477.77",34.5,"3,466.23",48.2,7.1,662,45.7,73,14,
PLSW1001BK     ,BraziUsfPolySPREE V ,POLY/NEGR ,KORU,KORUS SALES,94,56.54,"5,314.76",1.8,22,"4,695.81","2,191.07",46.7,"3,451.93",73.5,2.5,698,19,50,9,
0077BLK        ,PantCaRecPdeCIELO V ,ALGD/1P1B ,CIEL,CIELO,22,374.03,"8,228.66",0.3,28,"13,878.28","5,551.20",40,"3,431.65",24.7,9.3,306,56,1694,13,
D9179BRD       ,VestForClSmKLAXO V  ,POLY/AZUL ,KLAX,KLAXONS,14,310.29,"4,344.06",0.8,8,"5,903.46","1,713.90",29,"3,421.14",58,5.5,756,36.4,51,8,
P161BKIV       ,FaldCarPdePolKLAXO V,POLY/FLOR ,KLAX,KLAXONS,11,232.72,"2,559.92",0.3,17,"7,373.15","2,900.80",39.3,"3,416.91",46.3,10.5,904,60.7,51,19,
7900BK         ,PantMedUsfANGEL V   ,NYLO/NEGR ,KORU,KORUS SALES,879,45.23,"39,757.17",14,27,"4,613.81",997.6,21.6,"3,396.78",73.6,0.4,101,3,1764,3,
P2000BN        ,LeggCaTuPanCHOCO V  ,RAYO/2PCB ,CHOC,CHOCOLATE,102,217.1,"22,144.20",2.2,20,"7,679.90","3,450.50",44.9,"3,369.79",43.9,2.1,168,16.4,663,3,
D34814GY       ,PantCiReBroPanDAZZ V,POLY/2P2B ,DAZZ,DAZZ,11,347.31,"3,820.41",0.4,13,"7,873.45","3,374.41",42.9,"3,358.42",42.7,8.9,663,54.2,75,9,
T4583WNJDBE    ,BlusClArabM34KLAXO V,POLY/ARAB ,KLAX,KLAXONS,28,227.03,"6,356.84",0.8,16,"6,950.10","2,719.50",39.1,"3,317.62",47.7,5.3,487,36.4,75,3,
T4606WN        ,BlazCv1BotM34KLAXO V,POLY/WINE ,KLAX,KLAXONS,39,203.74,"7,945.86",1.1,15,"6,345.75","2,719.50",42.9,"3,289.65",51.8,3.9,417,27.8,75,3,
GJ247BK        ,BlazCvCasM34CEST V  ,POLY/NEGR ,CEST,C EST TOI,23,204.75,"4,709.25",0.6,17,"6,630.52","2,608.64",39.3,"3,273.36",49.4,6.5,631,42.5,239,4,
J7333BK        ,JackCvBrochMlKARAG V,RAYO/NEGR ,KARA,KARA GIRL,29,334.16,"9,690.64",1,12,"7,267.80","3,114.84",42.9,"3,257.88",44.8,4.1,334,29.3,1229,10,
T1571BKWH      ,BlusCvCasM34ACTIVE V,POLY/RAYA ,ACTI,ACTIVE USA,10,180.34,"1,803.40",0.2,25,"7,715.10","3,697.90",47.9,"3,206.60",41.6,13.6,970,71.4,75,14,
