SKU,Description,Style/Color,Vendor,Vendor Description,OnHand Qty,OnHand Curr Cost,OnHand Value,OnHand Weeks,MTD Qty,MTD Sales,MTD Markdowns,MTD MD Pct,MTD Profit,MTD GP Pct,MTD Turns,MTD ROI Pct,MTD Sell Thru,Age_FirstRec,Age_LastRec,Comment
NLC3558AQGD    ,CollaDiseMetaSUPER U,META/ELEF ,JOIA,JOIA TRADING,0,13.23,0,0,3,180,0,0,140.31,78,24,8484,100,144,135,
NLC3558FUGD    ,CollaDiseMetaSUPER U,META/ELEF ,JOIA,JOIA TRADING,3,13.23,39.69,0.4,3,180,0,0,140.31,78,8,2828,50,144,135,
67970WH        ,BlusTopUsfMlAMBIA U ,ALGD/BLAN ,AMBI,AMBIANCE,3,152.13,456.39,1.3,1,289.13,123.91,42.9,137,47.4,3.4,309,25,147,25,
GT025AWH       ,BlusCcaUsfM34ZENAN U,ALGD/BLAN ,ZENA,ZENANA,3,152.13,456.39,1.3,1,289.13,123.91,42.9,137,47.4,3,270,25,143,9,
T1187BKWH      ,BlusCcaBotMlSUGAR U ,ALGD/CUAD ,ACTI,ACTIVE USA,1,152.13,152.13,0.4,1,289.13,123.91,42.9,137,47.4,8,720,50,148,25,
T1187RYWH      ,BlusCcaBotMlSUGAR U ,ALGD/CUAD ,ACTI,ACTIVE USA,-3,152.13,-456.39,-1.3,1,289.13,123.91,42.9,137,47.4,-4.8,-432,-50,148,50,
T1437TLIV      ,BlusClRayM34ACTIV U ,POLY/TEAL ,ACTI,ACTIVE USA,0,165.36,0,0,1,301.3,129.13,42.9,135.94,45.1,24,1973,100,148,133,
C4267OFWHNVFU  ,BlusClFlorMmCHOCO U ,RAYO/FLOR ,CHOC,CHOCOLATE,1,157.22,157.22,0.4,1,289.13,123.91,42.9,131.91,45.6,8,671,50,214,148,
SW485BNV       ,SuetCvBotMlCIELO U  ,VISC/AZUL ,CIEL,CIELO,1,158.74,158.74,0.4,1,289.13,123.91,42.9,130.39,45.1,8,657,50,148,54,
LMF7023ASSTWH  ,MoldeUsfNyloKALIY U ,NYLO/BLAN ,KORU,KORUS SALES,4,66.14,264.56,0.9,2,259.14,259.12,100,126.86,49,4.8,460,33.3,278,25,
TA7842LABLPK   ,BlusClCasM34MINE U  ,POLY/FLOR ,MINE,MINE EDGE,1,175.02,175.02,0.4,1,301.3,129.13,42.9,126.28,41.9,8,577,50,147,84,
T1433OFWH      ,BlusCvUsfM34ACTIV U ,POLY/BLAN ,ACTI,ACTIVE USA,0,145.52,0,0,1,270.87,116.09,42.9,125.35,46.3,24,2067,100,148,82,
IT5913U5CRMNV  ,BlusClDiseSmIRIS U  ,RAYO/DISE ,IRIS,IRIS,0,138.9,0,0,1,258.7,110.87,42.9,119.8,46.3,24,2070,100,147,76,
QT1839XSLMWHBK ,BlusClRayaMcZENAN U ,POLY/RAYA ,ZENA,ZENANA,4,138.9,555.6,1.7,1,258.7,110.87,42.9,119.8,46.3,2.7,230,20,143,49,
T1322RSV       ,BlusClUsfMcSUGAR U  ,RAYO/ROSA ,ACTI,ACTIVE USA,2,138.9,277.8,0.9,1,258.7,110.87,42.9,119.8,46.3,4.8,414,33.3,148,25,
24002NKH       ,BraziUsfPolyALWAY U ,POLY/KAKI ,KORU,KORUS SALES,1,92.6,92.6,0.2,2,303.51,303.45,100,118.31,39,12,767,66.7,144,140,
676121BKYL     ,VestCacClSmAMBIA U  ,POLY/FLOR ,AMBI,AMBIANCE,5,111.12,555.6,0.7,3,450,450,100,116.64,25.9,5.5,194,37.5,147,3,
0011DBL        ,PantCaAcaPdeCIELO U ,ALGD/1P1B ,CIEL,CIELO,0,370.4,0,0,1,485.74,208.17,42.9,115.34,23.7,24,747,100,148,55,
T1009BK        ,BlusClCasMlACTIV U  ,POLY/NEGR ,ACTI,ACTIVE USA,1,125.67,125.67,0.4,1,240.44,103.04,42.9,114.77,47.7,12,1098,50,420,24,
T8878VE84BKWH  ,BlusClCasMcTEENB U  ,POLY/FRAN ,TENB,TEENBELL,0,125.67,0,0,1,240.44,103.04,42.9,114.77,47.7,24,2192,100,146,54,
84096BFU       ,BlumUsfPolyaBIJOU U ,POLY/FUCH ,KORU,KORUS SALES,2,39.69,79.38,0.4,2,191.32,191.28,100,111.94,58.5,8,1128,50,278,25,
84356BKFURY    ,BlumFlorPolyBIJOU U ,POLY/FLOR ,KORU,KORUS SALES,0,39.69,0,0,2,191.32,191.28,100,111.94,58.5,24,3384,100,144,84,
63868RD        ,FaldRodUsfPdeAMBIA U,RAYO/ROJO ,AMBI,AMBIANCE,1,116.41,116.41,0.4,1,228.26,97.83,42.9,111.85,49,8,769,50,147,25,
67969BG        ,BlusClEncaMlAMBIA U ,ALGD/ENCA ,AMBI,AMBIANCE,0,116.41,0,0,1,228.26,97.83,42.9,111.85,49,24,2306,100,148,126,
672062BKBL     ,VestCacClMcAMBIA U  ,POLY/RAYA ,AMBI,AMBIANCE,2,119.06,238.12,0.9,1,228.26,97.83,42.9,109.2,47.8,4.8,440,33.3,147,54,
T1272PK        ,BlusClCasSmSUGAR U  ,POLY/ROSA ,ACTI,ACTIVE USA,12,132.29,"1,587.48",5.1,1,240.44,103.04,42.9,108.15,45,1,78,7.7,148,56,
T4436BBKKH     ,BlusCvCasMcKLAXO U  ,NYLO/ENCA ,KLAX,KLAXONS,5,284.42,"1,422.10",2.1,1,389.13,389.13,100,104.71,26.9,2.2,80,16.7,146,24,
J9447WH        ,CardAbiUsfMlACTIV U ,RAYO/BLAN ,ACTI,ACTIVE USA,0,82.02,0,0,1,179.56,76.96,42.9,97.54,54.3,24,2854,100,148,82,
