SKU,Description,Style/Color,Vendor,Vendor Description,OnHand Qty,OnHand Curr Cost,OnHand Value,OnHand Weeks,MTD Qty,MTD Sales,MTD Markdowns,MTD MD Pct,MTD Profit,MTD GP Pct,MTD Turns,MTD ROI Pct,MTD Sell Thru,Age_FirstRec,Age_LastRec,Comment
GT952NV        ,BlusClCasM34CESTT V ,POLY/AZUL ,CEST,C EST TOI,2,204.06,408.12,0.1,8,"3,369.60",978.24,29,"1,737.12",51.6,16,1703,80,70,24,
K8645BKWH      ,VestCclClCtEVENT U  ,POLY/RAYA ,EVEN,EVENT,8,476.23,"3,809.84",0.9,4,"3,640.00","1,560.00",42.9,"1,735.08",47.7,4.8,437,33.3,147,13,
D9857WN        ,VestForFjaMmKARAG V ,RAYO/WINE ,KARA,KARA GIRL,66,381.9,"25,205.40",5.7,5,"3,636.95","1,558.70",42.9,"1,727.45",47.5,0.9,79,7,52,3,
WJ784DK        ,BlusCcaBotMlCESTT U ,JEAN/DARK ,CEST,C EST TOI,2,266.9,533.8,0.1,7,"3,594.76","1,244.34",34.6,"1,726.46",48,14,1294,77.8,148,38,
BE2851DBL      ,FaldMiniUsfPdeJESS U,ALGD/AZUL ,XPAM,PAPERMOON,45,231.5,"10,417.50",2.1,9,"3,807.45","1,631.70",42.9,"1,723.95",45.3,2.2,181,16.7,147,3,
318621BG       ,BlusCvUsfM34AMBIA V ,POLY/VINO ,AMBI,AMBIANCE,15,157.11,"2,356.65",0.5,13,"3,758.69","1,610.83",42.9,"1,716.26",45.7,7.3,610,46.4,47,9,
D34784BK       ,PantCaTuFajPanDAZZ V,POLY/2P2B ,DAZZ,DAZZ,18,300.56,"5,410.08",1.3,6,"3,502.16","1,167.40",33.3,"1,698.80",48.5,3.4,323,25,75,9,
GT932WH        ,BlusClEncaMmCESTT V ,POLY/BLAN ,CEST,C EST TOI,22,171.15,"3,765.30",0.8,12,"3,743.42","1,734.82",46.3,"1,686.50",45.1,5.1,422,35.3,149,3,
D9814CL        ,VestForZipMmKARAG V ,RAYO/CORA ,KARA,KARA GIRL,3,385.82,"1,157.46",0.3,4,"3,221.30",935.22,29,"1,678.02",52.1,9.6,1044,57.1,95,47,
W7251          ,JeanCaRecPanCESTT U ,ALGD/ROTO ,CEST,C EST TOI,19,387,"7,353.00",2,4,"3,221.30",935.22,29,"1,673.30",51.9,2.3,247,17.4,148,35,
