SKU,Description,Style/Color,Vendor,Vendor Description,OnHand Qty,OnHand Curr Cost,OnHand Value,OnHand Weeks,MTD Qty,MTD Sales,MTD Markdowns,MTD MD Pct,MTD Profit,MTD GP Pct,MTD Turns,MTD ROI Pct,MTD Sell Thru,Age_FirstRec,Age_LastRec,Comment
6063BE         ,ZapTbAm4PuTOOTA T   ,PLAN/BEIG ,KXIE,xie zhen mei,19,160.88,"3,056.72",0.4,14,"4,330.40","1,732.16",40,"2,078.08",48,6.5,596,42.4,187,12,
2881LPK        ,ZapTcMetHulBUGS V   ,TCOR/ROSA ,KSWE,SWEETY SHOES,105,142.51,"14,963.55",2.7,11,"3,639.17",808.68,22.2,"2,071.56",56.9,1.2,154,9.5,62,13,
M815BN         ,SandPtMetHePuADDIC V,PLAN/CAFE ,KHAN,HANG GUAN SH,110,136.39,"15,002.90",1.3,24,"5,364.48","2,941.68",54.8,"2,068.22",38.6,2.4,149,17.9,217,2,
PASOSNBBK      ,ZapPtMetLonSODA V   ,PLAN/NEGR ,FORD,FORTUNE DINA,35,201.54,"7,053.90",0.6,18,"5,595.64","2,152.10",38.5,"2,062.77",36.9,4.9,287,34,318,10,
DC211031NV     ,ZapTbMetSuedMARIL V ,TBAJ/AZUL ,KSWE,SWEETY SHOES,58,155.97,"9,046.26",1.8,9,"3,464.32",433.04,12.5,"2,060.59",59.5,1.7,254,13.4,61,6,
LILY1BE        ,ZapDsPtMetPuNINI V  ,PLAN/BEIG ,KMIS,mini shoes,162,141.35,"22,898.70",6.6,7,"3,013.01",0,0,"2,023.56",67.2,0.5,104,4.1,53,14,
ERIKA56TN      ,ZapTcMetGamuDELIC V ,TCOR/TAN  ,FORL,FOREVER LINK,125,196.99,"24,623.75",5.1,7,"3,380.00",260,7.7,"2,001.07",59.2,0.7,95,5.3,105,3,
179BLK         ,ZapTcMetSuePuADDIC T,TCOR/NEGR ,KHAN,HANG GUAN SH,137,156.37,"21,422.69",3.3,12,"3,873.90","1,291.26",33.3,"1,997.46",51.6,1,107,8.1,187,8,
198A4GD        ,ZapTbFiMetGliTOOTA V,TBAJ/PIED ,KXIE,xie zhen mei,39,159.22,"6,209.58",1.6,7,"3,104.35",517.38,16.7,"1,989.81",64.1,2,357,15.2,76,10,
A112BKF        ,ZapPtMtGamCAMIL V   ,PLAN/NEGR ,KHAN,HANG GUAN SH,334,109.17,"36,462.78",8,12,"3,287.88",865.2,26.3,"1,977.84",60.2,0.4,64,3.5,71,2,
ES59983PEGD    ,ZapPtMetTexPuTOOTA V,PU/DORA   ,KERI,Erin Shoes,13,121.51,"1,579.63",0.3,11,"3,287.87",519.12,15.8,"1,951.26",59.3,7.1,1042,45.8,78,7,
EMILY42TN      ,SandTcMetLonaBRECK V,TCOR/TAN  ,OPPO,OPPO ORIGINA,42,200.37,"8,415.54",1.7,7,"3,363.04",258.69,7.7,"1,947.41",57.9,1.9,255,14.3,318,10,
04131BL        ,ZapTmMetCharCAMIL V ,TMED/AZUL ,KTIN,TINA DA,61,144.57,"8,818.77",1.9,9,"3,247.80",649.56,20,"1,946.67",59.9,1.6,247,12.9,78,13,
04131LKH       ,ZapTmMetCharCAMIL V ,TMED/KAKI ,KTIN,TINA DA,24,144.57,"3,469.68",0.8,9,"3,247.80",649.56,20,"1,946.67",59.9,3.9,577,27.3,78,10,
HOPE1BK        ,ZapDepAm5LonTOPMO U ,PLAN/ESCA ,TOPG,TOP GUY INTL,22,92.6,"2,037.20",0.6,11,"3,032.66","1,415.19",46.7,"1,946.43",64.2,4.8,864,33.3,230,7,
808KBE         ,SandPtDedHuleBUGS V ,PLAN/BEIG ,KSWE,SWEETY SHOES,141,75.29,"10,615.89",2.1,19,"3,368.75","1,554.72",46.2,"1,938.24",57.5,1.5,205,11.9,76,8,
CHELSEY01BK    ,SandTcHebPuBRECK V  ,PLAN/NEGR ,OPPO,OPPO ORIGINA,55,200.37,"11,020.35",1.4,11,"4,139.15","1,552.14",37.5,"1,935.08",46.8,2.2,192,16.7,66,12,
LARISA16CLNB   ,ZapPtMetLonaFOREV V ,PLAN/CORA ,FORL,FOREVER LINK,61,98.49,"6,007.89",1.5,12,"3,114.84","1,038.24",33.3,"1,932.96",62.1,2.1,352,16.4,106,7,
981BK          ,SandPtMetHulBUGS V  ,PLAN/NEGR ,KSWE,SWEETY SHOES,172,93.41,"16,066.52",3.3,15,"3,332.64","1,428.21",42.9,"1,931.49",58,1,138,8,62,3,
H303BK         ,ZapPtMetSuedADDIC T ,PLAN/NEGR ,KHAN,HANG GUAN SH,300,126.58,"37,974.00",6.1,14,"3,700.96","1,753.02",47.4,"1,928.84",52.1,0.5,60,4.5,197,7,
AFARSDBEPT     ,ZapPtMetCharSODA U  ,PLAN/BEIG ,FORD,FORTUNE DINA,39,145.52,"5,675.28",0.9,12,"3,676.12",967.4,26.3,"1,924.86",52.4,3.2,348,23.5,319,34,
M8338BE        ,ZapPtMetSuedADDIC T ,PLAN/BEIG ,KHAN,HANG GUAN SH,90,109.32,"9,838.80",1.2,22,"4,326.22","3,287.76",76,"1,921.18",44.4,2.6,210,19.6,196,16,
092BLK         ,ZapPtMetHulJELLY V  ,PLAN/NEGR ,KSWE,SWEETY SHOES,143,111.37,"15,925.91",2.9,14,"3,460.94","1,384.32",40,"1,901.76",54.9,1.1,137,8.9,62,8,
092NVY         ,ZapPtMetHulJELLY V  ,PLAN/AZUL ,KSWE,SWEETY SHOES,64,111.37,"7,127.68",1.3,14,"3,460.94","1,384.32",40,"1,901.76",54.9,2.4,289,17.9,62,24,
D013BK         ,ZapPtMetPuADDIC T   ,PLAN/NEGR ,KHAN,HANG GUAN SH,166,118.26,"19,631.16",1.9,25,"4,845.37","3,806.88",78.6,"1,888.87",39,1.7,107,13.1,196,2,
ZAPPAHBKNBPU   ,ZapTaMetGamuDELIC U ,TALT/NEGR ,FORD,FORTUNE DINA,55,261.93,"14,406.15",2.6,6,"3,456.50",691.3,20,"1,881.66",54.4,1.2,148,9.8,526,33,
CARTONSBKPU    ,SandTcMetPuCITYC U  ,TCOR/NEGR ,FORD,FORTUNE DINA,8,240.62,"1,924.96",0.4,6,"3,323.93",302.17,9.1,"1,881.23",56.6,6.5,853,42.9,528,35,
LARISA16WHNB   ,ZapPtMetLonaFOREV V ,PLAN/BLAN ,FORL,FOREVER LINK,75,98.49,"7,386.75",2,11,"2,941.79",865.2,29.4,"1,858.40",63.2,1.6,281,12.8,106,7,
A6EDS118SBK    ,ZapPtMetPuNINIS T   ,PLAN/NEGR ,KMIS,mini shoes,93,127.49,"11,856.57",1.7,16,"3,895.76","2,337.36",60,"1,855.92",47.6,1.9,173,14.7,196,11,
W8102NV        ,ZapPtMetGamuADDIC V ,PLAN/AZUL ,KHAN,HANG GUAN SH,159,121.92,"19,385.28",3.8,12,"3,287.76",865.2,26.3,"1,824.72",55.5,0.9,109,7,50,9,
VIVER14GLDJLY  ,SandPtDedHuleBAMBO U,PLAN/ESCA ,JPOR,J.P ORIGINAL,42,152.13,"6,389.46",1,12,"3,639.18","1,213.02",33.3,"1,813.62",49.8,3,298,22.2,127,14,
A579A11BK      ,SandTaFiMetPuTOOTA V,TALT/NEGR ,KXIE,xie zhen mei,56,243.44,"13,632.64",4,4,"2,775.64",0,0,"1,801.88",64.9,0.8,153,6.7,76,34,
H673BK         ,ZapPtMetPuADDIC T   ,PLAN/NEGR ,KHAN,HANG GUAN SH,90,111.55,"10,039.50",1.4,18,"3,807.06","2,422.56",63.6,"1,799.16",47.3,2.2,195,16.7,196,24,
2179GBK        ,ZapPtMetCoPuCAMIL T ,PLAN/NEGR ,KTIA,guangzhou Ti,9,145.66,"1,310.94",0.3,10,"3,254.35","1,084.75",33.3,"1,798.53",55.3,8.6,1059,52.6,504,35,
DOTTIE1LTBN    ,BotiTbMetHuleFOREV V,TCOR/CAFE ,FORL,FOREVER LINK,105,98.49,"10,341.45",5,6,"2,381.72",216.52,9.1,"1,790.78",75.2,0.7,202,5.4,104,8,
